Learning_outcome,Remember,Understand,Apply,Analyze,Evaluate,Create
"Seek, reflect on and respond appropriately to feedback from others in the practice context;",,,,1,,
"select a methodology to investigate, design or evaluate educational technology innovations or challenges",,,,,1,
select a particular area of interest and appropriate paradigms for paradigm comparison.,,,,1,,
Select a suitable therapeutic target for the treatment of a specified disorder,,,,1,,
Select an appropriate material for a given application based on appropriate selection tools and appreciation of the properties of a range of material classes.,,,,1,,
select an appropriate model to solve client problems,,,1,,,
Select an appropriate process design and modelling methodology to create a business process model;,,,1,,,
Select and adapt the relevant computing tools and programs;,,,1,,,
"select and apply a coherent range of teaching procedures appropriate to fostering motivation and purposeful, independent learning in your students",,,1,,,
select and apply a framework and techniques to analyse particular cases,,,1,,,
"Select and apply appropriate design research concepts, strategies and methods;",,,1,,,
"Select and apply appropriate procedures for the solution of probability problems, including recognition of dependent and independent events",,,1,,,
Select and apply appropriate protocols to ensure safety and environmental protection.,,,1,,,
"Select and apply assessment strategies and resources to develop learning and teaching sequences relevant to art, community and environment;",,,1,,,
Select and apply practical techniques to achieve a range of experimental outcomes in molecular biology;,,,1,,,
select and apply quantitative modelling concepts to problems arising from business,,,1,,,
"Select and apply tools to acquire, store, consolidate, analyse, manipulate and visualise data.",,,1,1,1,
select and conduct an appropriate analysis of data,,,1,,,
select and conduct preliminary analyses of data in order to assess their suitability for further analysis,,,,1,,
"select and critically evaluate therapeutic goals and recommendations for psychological intervention, including interprofessional practices",,,,,1,
Select and critique occupational therapy interventions on the basis of best available evidence;,,,,,1,
select and define socially significant target behaviours,,,1,,,
Select and describe mechanisms of transport phenomena present in given processes,,,1,,,
Select and design nanomaterials for use in engineering applications that lead to improvements in their lifecycle analysis,,,1,,,1
Select and design treatment sequences that provide acceptable outflows to receiving water.,,,1,,,1
"select and develop appropriate models for clustering, prediction or classification",,,,,,1
select and develop model types with explanatory and/or predictive ability,,,,,,1
"Select and interpret appropriate, cost-effective diagnostic tools and use them as an adjunct to the history and physical examination findings to formulate an appropriate diagnosis, differential diagnosis and implement an appropriate management plan.",,,,,1,
Select and justify an appropriate research methodology for a research project,,,1,,1,
Select and justify an appropriate research methodology for a research project,,,,,1,
Select and justify an appropriate research methodology for tackling a specified Computer Science problem;,,,1,,1,
Select and justify appropriate pharmacological approaches to the management of for specified conditions and diseasesThemeslabel Theme III,,,1,,1,
"Select and justify programs, interventions and community resources for disease prevention and health promotion appropriate for a patient or the communityThemeslabel Theme II",,,1,,1,
Select and justify the most appropriate analysis for a biological dataset and research question.,,,,,1,
Select and justify the selection of appropriate statistical and other analysis methods;,,,,,1,
select and review relevant theory and literature,,,1,,,
Select and use approaches to the systems development lifecycle including the waterfall model and modern alternatives;,,,1,,,
Select and use appropriate models and tools in order to predict the performance and know how to alter a system to achieve a desired effect in problems involving energy transfer in a fluid medium.,,,1,,1,
Select and use appropriate research tools and reasoning methods to synthesise and evaluate relevant legal and factual issues,,,,,1,1
"Select and use appropriate resources and strategies for the teaching of disciplines, subjects and learning priorities in primary schools in varied settings and socio-economic settings within and outside Australia",,,1,1,,
"Select and use appropriate resources and strategies for the teaching of disciplines, subjects and learning priorities in the primary years",,,1,1,,
"Select and use appropriate software and hardware tools to complete transmission line, antenna and optical fibre related laboratory tasks.",,,1,1,,
Select and use appropriate tools to complete electrical and magnetic fields related laboratory tasks.,,,1,1,,
"Select and use appropriate tools, techniques and strategies to manage project resources, including time and personnel;",,,1,1,,
Select and use conceptual and logical modelling techniques to design an information system;,,,1,,,
Select and use digital technologies in appropriate and creative ways to engage students and support their learning,,,1,1,,
select and use information and communication technologies (ICT) in appropriate and creative ways to plan lessons and engage students in their learning,,,1,1,,
select and use resources to support science teaching and learning,,,1,1,,
Select and use techniques to elicit requirements for an information system design;,,,1,,,
"Select and utilise appropriate computer modelling techniques and experimental methods, whilst ensuring model or test applicability, accuracy and limitations of the methods.",,,1,1,,
"select and utilise appropriate resources, including drawing on current local or global issues and popular media to create effective learning activities that may incorporate information and communication technology (ICT) to suit the school context and the students' learning needs",,,1,1,,
"select and utilise appropriate resources, including drawing on current local or global issues, popular media to create effective learning activities that may incorporate information and communication technology (ICT) to suit the school context and the students' learning needs",,,1,1,,
Select approaches that maximise the potential for program sustainability;,,,,1,,
"Select appropriate analytical methodologies to ensure the proper use of circuits, sensors and actuators in varied scenarios.",,,,1,,
Select appropriate communication methods in approaching an individual or group for nutrition education or counselling purpose.,,,,1,,
Select appropriate contemporary technology for a problem or situation requiring an interdisciplinary response;,,,,1,,
Select appropriate materials and construction processes by applying knowledge of structural systems in architectural design;,,,1,,,
Select appropriate materials for aerospace systems based on consideration of the properties of these materials under aerodynamic loads,,,,1,,
select appropriate modelling tools and analytical methodologies to analyse structural aerospace problems,,,,1,,
Select appropriate modelling tools and analytical methodologies to analyse structural aerospace problems.,,,,1,,
Select appropriate modes of analysis,,,,1,,
Select appropriate pharmacological approaches to the management of specified conditions and diseasesThemeslabel Theme III: Foundations of Clinical Practice,,,,1,,
Select appropriate statistical analyses for a range of research designs.,,,,1,,
Select appropriate techniques to suit the nature of the design or the communicative purpose.,,,,1,,
Select appropriate tools and algorithms to perform forensic investigations and acquire relevant evidence;,,,,1,,
select appropriate tools and algorithms to perform forensic investigations and acquire relevant evidence;,,,1,,,
Select appropriate tools and techniques for system reliability,,,,1,,
"Select appropriate tools to collect metrics, including test coverage, reliability, and design quality metrics, to analyse the quality of a software development project, and make recommendations based on the results;",,,,1,,
Select between the surface and underground mining methods in line with the required equipment for the operation of a range of surface and underground mines.,,,,1,,
Select cognitive and personality assessment tools appropriate for individual referrals and administer assessments in a standardised fashion.,,,,1,,
Select correct element types and designs proper mesh to obtain accurate results from a finite element analysis.,,,,1,,1
"Select evaluation methods appropriate to an evaluation design, including applying tools and resources specific to public health promotion.",,,1,,,
Select MAS modelling methods suited to the problem,,,,1,,
Select materials of construction that are fit for purpose in design problems based on appropriate failure theories for engineering materials.,,,,1,,
Select methods and strategies appropriate to a focused study of interior architectural production;,,,,1,,
select objectives and outcomes appropriate to different teaching contexts,,,,1,,
Select quantitative designs that are appropriate for different evaluation questions;,,,,1,,
Select relevant experimental factors to be studied to solve the problem and predict their impact on product performance (testing).  Themeslabel Pharmaceutical Science,,,,,1,
Select suitable constitutive models for different material types.,,,,1,,
"Select suitable containment materials, by explaining how chemicals are safely contained in a chemical process and corrosion mitigation.",,,,1,,
"Select suitable electronic components and develop simple MEMS or Organic electronic device based systems, evaluate structural and material properties of Micro/Nano devices through simulation studies",,,,,,1
Select suitable pumps for a range of pipe networks and/or flow conditions and describe typical properties of turbo-machines.,,,,1,,
"Select suitable techniques and methods to conduct analysis, design and implementation activities;",,,,1,,
Select the adequate Additive Manufacturing process based on the functional requirements of the product.,,,,1,,
"Select the appropriate CT protocol and post processing techniques including dose optimisation and use of oral and intra-venous contrast media for CT examinations of the brain, chest, abdomen and the vascular using an evidence-based framework.",,,,1,,
Select the appropriate decision support approach for a particular project;,,,,1,,
Select the appropriate MRI protocol and post processing techniques for MRI studies of the brain structure and function from within an evidence-based framework.,,,,1,,
"Select the appropriate MRI protocol and post processing techniques for MRI studies of the brain, spine, upper abdomen and pelvis from within an evidence-based framework",,,,1,,
"Select the appropriate MRI protocol and post processing techniques for MRI studies of the brain, spine, upper abdomen, pelvis, the knee and shoulder from within an evidence-based framework.",,,,1,,
Select the appropriate MRI protocol and post processing techniques for MRI studies of the extremities from within an evidence-based framework,,,,1,,
Select the appropriate MSCT protocol and post processing techniques for core and fine needle biopsies; angiographic studies and virtual colonoscopies from within an evidence - based framework.,,,,1,,
"Select the appropriate packaging for different foods with consideration of the use of resources, packaging stability and food safety;",,,,1,,
Select the appropriate processing techniques for different foods;,,,1,,,
Select the appropriate research tools to design and implement an efficient research strategy to answer research questions,,,,1,,
select the most appropriate measurement tools for a given situation,,,,1,,
Select various fuel delivery system and gas exchange processes based on justification from in depth technical analysis,,,,1,,
"Select, administer and critique assessment methods used in occupational therapy practice including initial assessment interview using this information to evaluate occupational performance and occupational engagement.",,,,,1,
"Select, administer, appraise and critique assessment tools and assessment methods used in occupational therapy practice.    ",,,,,1,
"Select, administer, score and interpret psychological assessments, including common psychiatric conditions, neurocognitive abilities, and personality traits;",,,,1,1,
"Select, administer, score, and interpret psychological assessments, including common psychiatric conditions, neurocognitive abilities, and personality traits.",,,,1,1,
"Select, analyse and apply constitutional law interpretive principles to generate appropriate jurisprudential and practical responses to complex legal issues;",,,1,,,
"Select, analyse and apply property law principles to generate solutions appropriate to legal problems and issues;",,,1,,,
"Select, analyse, interpret and apply criminal law doctrines and principles to generate appropriate responses to simulated legal problems",,,1,,,
"Select, analyse, interpret and apply legal principles and methods and use professional judgement to generate appropriate jurisprudential and practical responses to moderately complex legal problems;",,,1,,,
"Select, analyse, interpret and apply legal principles and methods to generate appropriate responses to legal problems involving contracts;",,,1,,,
"Select, analyse, interpret and apply principles of corporations law to generate appropriate responses to complex legal issues embedded in factual scenarios",,,1,,,
"Select, analyse, interpret and apply principles of corporations law to generate appropriate responses to complex legal issues embedded in factual scenarios;",,,1,,,
"Select, analyse, interpret and apply principles of the law of evidence to generate appropriate responses to complex legal issues embedded in factual scenarios;",,,1,,,
"Select, analyse, interpret and apply principles of trusts law to generate appropriate responses to complex legal issues.",,,1,,,
"Select, analyze and apply property law principles to generate appropriate practical and jurisprudential responses to complex legal problems and issues;",,,1,,,
"Select, appraise and design questionnaires/scales used to gather data;",,,,1,1,1
"select, create and interpret appropriate types of visual representation for a given set of data",,,,,1,1
"Select, evaluate and apply AI software techniques to model simple intelligent behaviour in 2D discrete simulations and games;",,,1,,1,
"Select, evaluate and apply AI software techniques to model simple intelligent behaviour in 3D continuous simulations and games;",,,1,,1,
"select, evaluate, and adapt analytical approaches for understanding the links between the political economy of development and ecological change;",,,,,1,
"Select, interpret and apply relevant rules and principles of statutory interpretation in order to reach a considered view on the legal meaning, or likely legal meaning, of a doubtful legislative provision",,,1,,,
"Select, interpret and apply relevant rules and principles of statutory interpretation in order to reach a considered view on the legal meaning, or likely legal meaning, of a doubtful legislative provision, including determining whether, as a matter of statutory interpretation, a statutory offence requires proof of a mental element and (if so) what that mental element is;",,,1,,,
"Select, justify and use project management techniques and tools for IT projects;",,,,1,1,
"Select, measure, prescribe and use appropriate assistive equipment to create recommendations for increased occupational participation and performance in typical client scenarios;",,,,1,,
"Select, measure, prescribe and use appropriate assistive equipment to enable client occupational participation and performance (e.g. mobility equipment, lifting devices/hoists, pressure care equipment and communication devices).",,,,1,,
"select, organise and represent appropriate data in maps and tables for a variety of spatial scales;",,,,1,,1
"Select, use and interpret results from statistical tests or qualitative analytic techniques appropriate to answering research questions and testing hypotheses within the context of psychology research",,,,1,1,
Selection and comparisons of techniques,,,,1,,
Selection of materials and understanding rational materials selection from a reverse engineering task.,,,,1,,
"Selects and justifies their choice of medication, dose and mode of administration for the patient, including empirical choice of 'best guess' antibiotic",,,,1,1,
Self-edit and revise writing in an academic context.,,,,,,1
Self-evaluate and reflect on their employment readiness with respect to the key employability skills;,,,,1,1,
Self-evaluate and reflect upon the development of teamwork and communication skills;,,,,,1,
"Separate and classify DC and AC electrical circuits, to generalise and solve problems in design by applying circuit analysis techniques and create appropriate circuit layouts.",,,1,,,
Set up mathematical models for solution in a spreadsheet or other application software;,,,,,,1
Set up mathematical models for solution in a spreadsheet or other application software;,,,,,,1
Set up simple models and solve with hand calculations;,,,1,,,
Set up simple models and solve with hand calculations;,,,,,,1
"Share power in relationships with service providers, community leaders, consumers and carers, as demonstrated by the development of a partnership approach to service development and provision;",,,1,,,
"Share resources in a mutual educational process to facilitate decision making and advocacy about service choices, and options;",,,,1,1,
"Shoot, interview, script and edit a television story;",,,,,,1
Show a broad familiarity with the major artists in the history of Australian art;,,,1,,,
show a clear ability to critically interrogate dominant theoretical perspectives in the criminology of youth;,,,1,,,
show a deep and critical understanding of the relationship between theory and practice,,,1,,,
"Show a deeper understanding of current issues in fine art, various modes of professional practice and recognise the potential to produce ethically engaged, critical and creative artworks within the framework of contemporary culture;",,,1,,,
"Show a language is not regular, or not context-free, or not decidable;",,,1,,,
"Show a sound understanding of layouts, component mapping and ergonomic factors in the field of transportation;",,,1,,,
Show an ability to exercise professional judgment in recognising and responding appropriately to ethical issues that arise in the context of civil dispute resolution.,,,1,,,
"Show an awareness of the major political cultures, structures, actors and issues in the contemporary Middle East.",,,1,,,
"Show an awareness of the social and political context to climate change and the impacts, adaptation and mitigation of such change;",,,1,,,
"Show an improved ability to work in teams and to communicate and discuss physics concepts, measurements and applications related to engineering and developments in technologies",,1,,,,
show an understanding of the principles of project design and documentation;,,,1,,,
"show an understanding of the structures, policies, behaviours, practices and requirements of the profession",,,1,,,
Show appropriate skills in applying methods and techniques relevant to your chosen project.,,,1,,,
Show awareness of a range of environmental problems;,,,1,,,
Show awareness of how the concepts and structure of primary measurement and geometry relate to the mathematics of secondary schooling and beyond,,,1,,,
Show awareness of how the concepts and structure of primary statistics and probability relate to the mathematics for secondary schooling and beyond,,,1,,,
show commitment by participating productively to achieve project goals in a team,,,1,,,
Show commitment to working in a team.,,,1,,,
Show communication skills in both oral and written presentation to a scientific audience;,,,1,,,
Show communication skills in both oral and written presentations to both a specialist and non-specialist scientific audience.,,,1,,,
"Show competency in evaluating psychometric instruments for research purposes and in screening referrals for psychometric assessment, selecting appropriate tests, integrating results and providing oral and written communication of results to interested parties.",,,1,,,
Show efficiency in basic value-based sex education.,,,1,,,
Show efficiency in conducting social network interventions.,,,1,,,
"Show evidence of an ability to undertake research, discuss, analyse and evaluate relevant scholarly issues in a clear, concise and rigorous manner.",,,,1,1,
show evidence of understanding the critical roles educators play in ensuring the positive experiences and successful learning of learners with disabilities in various educational settings.,,,1,,,
Show how ligands can recognize and modify DNA tertiary structure and link this with an ability to cite examples of how compounds acting at oligonucleotides function as therapeutics,,,1,,,
Show increased knowledge of teachers' pedagogical content knowledge in mathematics,,,1,,,
"Show initiative and independence, and manage your time and resources effectively to complete a project within allocated time scales.",,,1,,,
Show sensitivity to the latest aesthetic thinking and material technologies in the area of study;,,,1,,,
Show sociocultural awareness and positive views of students from diverse backgrounds,,,1,,,
"show technical skill in designing, conducting and reporting on a research project",,,1,,,
"Show technical skill in designing, conducting and reporting on a research project.",,,1,,,
"Show technical skill in designing, conducting and reporting on an independent research project",,,1,,,
"Show technical skills and a degree of independence and accountability in designing planning, conducting and reporting on immersive, interactive and experiential storytelling project using diverse media in collaboration with others.",,,1,,,
"Show that a language is in P, or in NP, or NP-complete;",,,1,,,
"Show the ability to collect, organize and evaluate nutrition and health related data of the members of a community.",,,,,1,
Show the ability to work independently and to collaborate with colleagues on common tasks effectively.,,,1,,,
Show their developing competency in presenting literature and stories to children in a variety of ways that promote oral and written literacy,,,,,,1
Show understanding of the relationship between mystical literature and the religious tradition from which it emanates.,,,1,,,
Show using simple examples how this system of equations can be applied to different astrophysical and laboratory phenomena.,,,1,,,
Show using simple examples of how this system of equations can be applied to different astrophysical and laboratory phenomena.,,,1,,,
"showcase foundational knowledge, skills and understandings of concepts associated with the work ofteaching (curriculum, planning, pedagogy, assessment, reporting)",,,1,,,
Simulate a wide range of stochastic signal processing algorithms and interpret the results,,,,,,1
"Simulate and plan for the interactions of components, and both quantify and reflectupon their impact on performance metrics.",,,,,,1
"Simulate and predict the interactions of components, and both quantify and reflect upon their impact on performance metrics.",,,,,1,1
Simulate complex networks and analyse their performance using discrete-event modelling.,,,,1,,
Simulate processes using a process simulation software to analyse the mass and energy balance of complex chemical processes and report the results in a technical report.,,,,1,,
"Simulate stochastic processes and solutions of stochastic differential equations, and obtain prices by simulations.",,,,,,1
simulate the price process and obtain prices by simulation,,,,,,1
"Situate activities within a historic and contemporary development of construction materials, component systems and fabrication techniques;",,,1,,,
Situate activities within a historic and contemporary development of structural systems and fabrication techniques;,,,1,,,
Situate both contemporary and historical Australian art within a wider world context.,,,1,,,
"Situate design concepts within a system, and explore potential intended and unintended consequences;",,,1,,,
Situate environmental issues and responses and building system design within an historic and contemporary understanding of architectural developments;,,1,,,,
Situate personal and speculative design practices within a critical discourse;,,,1,,,
Situate select genres within the historical context of film composition;,,,1,,,
Situate the historical development of the internet and describe the fundamental features that distinguish the internet and digital media from earlier forms of media technology;,,,1,,,
Situate the relevance of your research within a contemporary context;,,,1,,,
situate their own work within larger historiographical debates,,,,,1,
Size and design the major components of a turbofan engine using 1D aerothermodynamic principles.,,,,,,1
Skilfully and expressively use both informative and artistic modes to create a holistic vision of the world of typography;,,,1,,,
"Skilfully communicate architectural ideas verbally, graphically and 3-dimensionally;",,,,,,1
Skill in navigating digital literary texts on various media platforms,,,1,,,
"Skillfully and insightfully conceive, develop, create, compose and output digital publications;",,,,,,1
"Skillfully and insightfully create, edit, manipulate, compose and output digital 3-Dimensional elements (ie. photorealistic renderings, surface models);",,,,,,1
"Skillfully and insightfully create, edit, manipulate, compose and output digital images;",,,,,,1
Skills and capacities in devising short performance works drawing on foundational physical work and improvisation,,,,,,1
Skills and knowledge to provide basic advice to scientists and those wanting to commercially exploit biotechnology and its outcomes on their rights and responsibilities in law;,,,,,,1
skills enabling them to critically analyse contemporary debates in applied ethics which depend on such issues and concepts,,,,1,,
Skills enabling them to critically analyse key ethical and policy issues related to topics in global bioethics;,,,,1,,
"Skills enabling them to think critically about key ethical, policy and legal issues raised by recent advances in medicine and biotechnology;",,,,,,1
Skills in applying a range of techniques to real world situations.,,,1,,,
"Skills in critical analysis of policies aimed at alleviating global poverty such as the Millennium Development Goals, especially as they relate to sub-Saharan Africa",,,,1,,
Skills in cross-cultural communication and collaboration;,,,,,1,
"Skills in data cleaning, identification of outliers and data trimming using appropriate statistical methods.",,,1,,,
Skills in data manipulation and management using the major statistical software packages.,,,1,,,
"Skills in editing, proofing and preparation of copy for publication;",,,,,,1
"Skills in editing, proofing and preparation of copy for publication; advanced writing and reading skills as a member of an Internet writing group",,,,,,1
Skills in linking files through unique and non-unique identifiers.,,,1,,,
Skills in presenting coherently argued and well organized essays on sociological topics;,,,,,,1
Skills in presenting coherently argued and well organized essays on sociological topics.,,,,,,1
Skills in project management,,,,,,1
"Skills in researching and critically reflecting on writing projects, and an appreciation of the importance of the research and exegetical stages in the creative writing processes;",,,,,,1
Skills in the comprehension and critical analysis of extended scholarly work;,,,,1,,
Skills in the critical assessment of academic contributions to issues of economic development and growth,,,,1,,
Skills in written and oral argument appropriate to the study of literature.,,,,,,1
Skills of analysis and interpretation in the study of China through exposure to the materials used in this unit.,,,,1,1,
Skills of analysis and interpretation in the study of China through exposure to the textual sources used in this unit.,,,,1,1,
Skills relevant to prospective employers in the journalism field;,,,,,,1
skills relevant to prospective employers;,,,1,,,
Skills to assist them to conduct independent research in human rights topics.,,,,1,,
Skills to design and simulate modern communication systems using industry standard simulation tools.,,,,,,1
"Skills to review, analyse, consolidate and synthesis the above knowledge to identify and provide solutions to complex problems arising out of the practice or development of, or activities pertaining to, biotechnology;",,,,1,1,1
Solid advanced undergraduate-level competence in the reading and interpretation of literary texts.  For Creative Writing Stream students:,,,,,1,
Solve a complex and outstanding problem or problems in the chosen area for original research;,,,1,,,
Solve a complex and outstanding problem or problems in the chosen area for original research.,,,1,,,
Solve a range of first-order partial differential equations including using the 'method of characteristics';,,,1,,,
Solve an outstanding problem or problems in the chosen area for original research.,,,1,,,
"Solve astrophysical problems, and complete a range of problem solving tasks by drawing on physical principles.",,,1,,,
Solve complex problems relating to the use of epidemiological concepts and study designs.,,,1,,,
Solve constant coefficient ordinary differential equations;,,,1,,,
Solve differential equations of the separable variables type;,,,1,,,
"Solve elementary partial differential equations, apply boundary and initial conditions as appropriate, and use the method of separation of variables with the wave equation, heat equation and Laplace's equation",,,1,,,
solve engineering problems involving the simple free and forced vibration of single masssystems,,,1,,,
"Solve engineering problems involving: displacement, velocity and acceleration, simple vibrating systems of masses, springs and dampers, and analysis of simple engineering mechanisms.",,,1,,,
Solve engineering problems related to the design and operation of bioreactors and bioprocesses,,,1,,,
solve first and second order partial derivatives,,,1,,,
"Solve first order ordinary differential equations, including by separable variables and integrating factors.",,,1,,,
solve for the equilibrium outcomes of interactions using basic algebra,,,1,,,
"Solve kinematics problems, and set up and solve problems involving Newton's laws of motion.",,,1,,,
Solve linear ordinary differential equations using series methods and Green's functions;,,,1,,,
Solve linear systems and calculate the eigenvalues and eigenvectors of square matrices;,,,1,,,
Solve new problems in physics related to the core concepts of the unit by drawing on the theoretical underpinnings that illustrate the physics.,,,1,,,
Solve pharmaceutical calculations.,,,1,,,
"Solve problems in a meaningful, systematic, and structured manner",,,1,,,
"Solve problems in a meaningful, systematic, and structured manner.",,,1,,,
Solve problems in environmental chemistry;,,,1,,,
Solve problems involving multi-phase chemical systems and reactive systems.,,,1,,,
"Solve problems involving unit operations, water activity and food stability, food drying,thermal processing, reaction kinetics, and rheological properties.",,,1,,,
"Solve problems requiring linear or curved graphing skills, including sketching, identifying key features and finding equations",1,,,,,
Solve problems using the computer simulation package for chemical processes.,,,1,,,
Solve second order linear differential equations with constant coefficients.,,,1,,,
"Solve simple first and second order differential equations, and formulate them for applications to physical systems;",,,1,,,
"solve simultaneous equations, with applications in areas including operations management",,,1,,,
"Solve systems of simple ordinary differential equations, establish and use their eigenvalues, solve simple second-order boundary-value problems",,,1,,,
Solve technical and practical issues in commercial bioprocessing,,,1,,,
Solve the forces on solid structures in chemical engineering design problems.,,,1,,,
"Solve the fundamental equations of motion governing the dynamics of such systems analytically, semi-analytically or using numerical techniques to understand their behaviour for prediction and design",,,1,,,
Solve the governing and reduced equations in simple situations and understand the physical implications of the solutions and their limitations.,,1,,,,
Solve theoretical and applied problems of analysing and employing numerical methods;,,,1,,,
Solve theoretical and applied problems of analysing and employing numerical methods.,,,1,,,
"solve two and three dimensional simultaneous equations, with applications in areas including operations management",,,1,,,
Solve up to 3x3 systems of linear equations and find eigenvalues and eigenvectors.,,,1,,,
Some understanding of how cinema has developed across national and transnational film industries in different parts of the world.,,,,,,1
"Source and appraise literature related to the physical, social, cultural, economic, political and institutional environments of individuals and groups, with respect to Aboriginal and Torres Strait Islander Peoples  and culturally diverse populations, to inform occupation-based practices across the lifespan;",,,,,1,
"Source and interpret bio-statistical information relevant to health and disease in populations across a range of contexts (e.g. rural, indigenous, vulnerable/'at-risk' populations).",,,,,1,
source and select relevant marketing theories and marketing tools to support analysis and recommendations.,,,,1,,
source and utilise a range of resources which support student learning and engagement in HPE,,,1,,,
"Source, integrate and critically evaluate literature to synthesise the review necessary for a prototype application to study a particular problem;",,,,,1,1
"Source, integrate and critically evaluate the scientific literature to address a defined pharmacological problem relating to neuro- or endocrine pharmacology.",,,,,1,
"Source, integrate and critically evaluate the scientific literature to address a defined problem relating to cardiovascular science.",,,,,1,
"Source, integrate and critically evaluate the scientific literature to address an issue in the area of drug development and to communicate this orally, in written form or via a poster presentation;",,,,,1,1
"Source, interpret and evaluate biostatistical information relevant to health and disease in populations across a range of contexts (e.g. rural, indigenous, vulnerable/'at-risk' populations)",,,,,1,
"Source, interpret and use information from medical research literature and clinical practice guidelines according to discipline guidelines/practicesThemeslabel Theme II: Population, Society, Health and Illness",,,,,1,
"Source, interpret, evaluate and use information from medical research literature, lay press and clinical practice guidelines according to discipline guidelines/practicesThemeslabel Theme II",,,,,1,
"Source, synthesise and critically analyse literature to form the basis of a project;",,,,1,,1
"Speak, listen, read and write in French to communicate effectively in a range of situations and on a range of themes;",,,1,,,
"speak, listen, read and write in Indonesian to communicate effectively in a range of situations and on a range of themes;",,,1,,,
"speak, listen, read and write in Indonesian to communicate effectively in a range of situations and on a range of themes; ",,,1,,,
"specify appropriate investment constraints, based on the liability profile of a fund",,,,,,1
"specify functional requirements for and evaluate digital repository platforms, technologies, systems and tools;",,,,,1,
Specify the production scenario for the design;,,,,,,1
"specify, estimate and interpret structural vector autoregressions",,,,,1,
"specify, estimate, evaluate and analyse econometric models with dependent variables that are binary choices, multinomial discrete choices, durations, censored or truncated, using a given dataset",,,,1,1,
state clearly the research problem and associated research questions,,,,,,1
State current nutritional recommendations for the general population and apply them to evaluate the adequacy of diets.,,,1,,1,
State some of the great unsolved problems in modern mathematics.,1,,,,,
"State the reasons for the importance of sample size in clinical studies, and perform sample size calculations for a variety of trial designs with different outcomes.",,1,,,,
"State their opinion logically, accurately and fluently in class discussions about the contents of the visual and reading materials studied in class;",,,1,,,
"State:  Drug Physico-chemical properties including electronic, steric, and hydrophobic Characteristics and their impact on biopharmaceutical properties Themeslabel Pharmaceutical Science",,,,,,1
Statistically analyse and present biological data;,,,,1,,
Strategically apply feedback to improve capabilities and performance of tasks.,,,1,,,
"Strategically respond to complex problems and develop appropriate planning responses, processes and outcomes pertinent to social and community planning",,,,,,1
"Strategically respond to complex problems and develop appropriate planning responses, processes and outcomes relevant to compact cities;",,,,,,1
"Strategically respond to complex problems and develop appropriate planning responses, processes and outcomes;",,,,,,1
"Strategically respond to complex problems and develop appropriate urban design responses, processes and outcomes relevant to Indonesian cities and regencies;",,,,,,1
"Strategically respond to complex problems and develop appropriate urban design responses, processes and outcomes with increasing skill;",,,,,,1
"Strategically respond to complex problems and develop appropriate urban design responses, processes and outcomes;",,,,,,1
"Strategically respond to complex problems and develop innovative urban design responses, processes and outcomes;",,,,,,1
Strategically respond to complex problems related to sustainable urban development with increasing skill;,,,,,1,
Strengthened their understanding of the interests of the various stakeholders in the migration sector,,1,,,,
Structure and present a report on a substantive health issue.,,,,,,1
"Students successfully completing the unit will have an understanding of current debates over the core political concepts of justice, freedom and equality. Students will be able to formulate and analyse these issues in relation to the problem of inter-cultural tolerance in a pluralistic society.Students at third year level will also have developed skills in independent research in political philosophy; a deeper and more thorough understanding of the issues covered in the unit; and a familiarity with a wider range of literature in political philosophy. Students will also be able to critically assess South African society and its accompanying political problems from the point of view of the unit.",,,,1,,1
"Students who have completed this unit will also have an enhanced ability to critically analyse and evaluate the concepts employed in, and the doctrines accepted by, the world\'s religions, as well as to put forward ideas and arguments of their own in a clear and coherent way. (""Monash Graduates will be critical and creative scholars who apply research skills to a range of challenges, and communicate perceptively and effectively."")",,,,1,1,1
"Students who have completed this unit will have a deeper understanding of the history, core teachings and central practices of a wide range of religious traditions. They will be able to identify distinguishing features of these various religious traditions, and to compare points of similarity and difference among them.",,1,,,1,
"Students who have completed this unit will have an enhanced ability to critically analyse and evaluate the concepts employed in, and the doctrines accepted by, the world\'s religions, as well as to put forward ideas and arguments of their own in a clear and coherent way. (""Monash Graduates will be critical and creative scholars who apply research skills to a range of challenges, and communicate perceptively and effectively."")",,,,1,1,1
"Students who have completed this unit will have an enhanced knowledge of theories of religion, and of key issues in contemporary studies of religion.",1,,,,,
Students will be able to provide captions and other interpretative text for both individual photos and photo essays.,,,,,1,
Students will be able to work within the ethical parameters of photojournalism.,,,1,,,
Students will be capable of an informed discussion and they will be able to present the results of their own research in form of a class paper and in a more detailed written essay,,,1,,,
"Students will construct a geoscientific report outlining the objectives, methodology, data required and the outcomes and interpretations of the simulated exploration program;",,,,,,1
"Students will develop an understanding of the historical circumstances, technological developments and industry context which have contributed to the contemporary practice of photojournalism.",,1,,,,
Students will develop competencies in editing photos for publication in a variety of media using industry-standard software.,,,1,,,
"Students will develop competencies in planning, selecting and setting up photographic subject material in accordance with good journalistic practice.",,,,,,1
"Students will develop competencies in taking individual photos, or sets of photos which present coherent narratives, that are suitable for publication, using industry-standard photographic equipment.",,,1,,,
Students will develop photojournalism skills and a portfolio of work that will enhance job opportunities in journalism.,,,1,,,
Students will develop the ability to critically assess what constitutes an effective image from both a technical and journalistic point of view.,,,,,1,
Students will develop the ability to work in a team environment to achieve project objectives;,,,1,,,
